Company,URL,Country,Crunchbase Categories
Voyantis,https://www.voyantis.ai/,Israel,"Internet, Marketing, Predictive Analytics, SaaS"
Rapyd Financial Network (2016) Ltd.,https://www.rapyd.net/,Israel,"Financial Services, FinTech, Mobile Payments, Payments"
Utopia Music AG,https://utopiamusic.com/,Switzerland,"Big Data, Music"
Pragmatic Play Ltd.,https://www.pragmaticplay.com/en/,Malta,"Casino, Gaming, Online Games, Software"
K Health Inc.,https://khealth.com/,USA,"Apps, Artificial Intelligence, Data and Analytics, Health Care, Information Technology, Mobile, Science and Engineering, Software"
"FireArc, Ltd.",https://fire-arc.com/,Israel,"Content, Education, Machine Learning, Social Media, Training"
"5.11, Inc.",https://www.511tactical.com/,USA,Wholesale
Ahava-Dead Sea Laboratories Ltd.,https://www.ahava.com/,Israel,"Beuaty, Retail"
Amagi Media Labs Private Limited,https://www.amagi.com/,India,"Advertising, Advertising Platforms"
Miya Water Spain SL,https://www.miya-water.com/en/,Spain,Water
Monica Vinader Ltd,https://www.monicavinader.com/,United Kingdom,"E-Commerce, Fashion, Jewelry"
SumUp Payments Limited,https://www.sumup.com/en-gb/,United Kingdom,"Finance, Financial Services, FinTech, Payments"
Hireup Pty Ltd,https://hireup.com.au/,Australia,Application Software
"Madison Reed, Inc.",https://www.madison-reed.com/,USA,"Beauty, E-Commerce, Retail, Retail Technology"
Moon Active Ltd.,https://www.moonactive.com/,Israel,Gaming
"Vuori, Inc.",https://vuoriclothing.com/,USA,"Brand Marketing, Fashion, Marketing, Retail, Sales"
"Alo, LLC",https://www.aloyoga.com/,USA,"Fashion, Textiles"
OrderYOYO A/S,https://www.orderyoyo.com/,Denmark,"E-Commerce,Hospitality,Restaurants"
Airwallex Pty Ltd,https://www.airwallex.com/,Australia,"Finance, Financial Services, FinTech, Payments"
FrontStory,https://www.frontstory.com/,Israel,"Consulting, Content Marketing, Digital Marketing, Information Technology, Publishing, Software"
"Meesho, Inc.",https://www.meesho.com/,India,E-Commerce
"3INA Cosmetics, SL",https://3ina.com/,Spain,"Cosmetics, E-Commerce"
Artlist Ltd.,https://artlist.io/,Israel,"Content Creators, Film, Film Production, Internet, Music, Software, Video"
"Koyfin, Inc.",https://app.koyfin.com/,USA,"Finance, Financial Services, FinTech"
Remilk Ltd,https://www.remilk.com/,Israel,"Food and Beverage, Food Processing, Nutrition"
Aleph Farms Limited,https://aleph-farms.com/,Israel,"Food and Beverage, Food Processing"
